random.ID,year,semester,subjectCode,num
IVBlCGzo,2016,1,BFT30016,1
IVBlCGzo,2016,1,BFT30061,1
IVBlCGzo,2016,1,BFT40012,1
IVBlCGzo,2016,1,BFT40055,1
IVBlCGzo,2016,1,GCS20002,2
YeJcKVfU,2013,1,GEK10001,1
YeJcKVfU,2013,1,GEK10008,1
YeJcKVfU,2013,1,GEK10011,2
YeJcKVfU,2013,1,GEK10041,1
YeJcKVfU,2013,1,GEK10045,12
YeJcKVfU,2013,1,GEK10057,2
YeJcKVfU,2013,1,LAW10004,1
YeJcKVfU,2013,1,PCO10012,16
YeJcKVfU,2013,1,PCO10058,9
YeJcKVfU,2013,2,GEK10002,1
YeJcKVfU,2013,2,GEK10009,1
YeJcKVfU,2013,2,GEK10015,1
YeJcKVfU,2013,2,GEK10058,2
YeJcKVfU,2013,2,GEK10061,2
YeJcKVfU,2013,2,GEK20043,1
YeJcKVfU,2013,2,MEC10001,2
YeJcKVfU,2013,2,PCO10013,9
YeJcKVfU,2013,2,PCO10052,3
YeJcKVfU,2014,1,BFT20001,1
YeJcKVfU,2014,1,GEK10016,1
YeJcKVfU,2014,1,GEK10041,1
YeJcKVfU,2014,1,GEK10057,2
YeJcKVfU,2014,1,GEK10095,1
YeJcKVfU,2014,1,GEK20001,1
YeJcKVfU,2014,1,GEK20008,1
YeJcKVfU,2014,1,ISL10075,1
YeJcKVfU,2014,1,ITP20001,1
YeJcKVfU,2014,3,PCO10052,1
YeJcKVfU,2015,2,BFT20003,1
YeJcKVfU,2015,2,BFT20004,3
YeJcKVfU,2015,2,BFT20011,1
YeJcKVfU,2015,2,BFT20012,1
YeJcKVfU,2015,2,ECE20013,1
YeJcKVfU,2015,2,ECE20018,2
YeJcKVfU,2015,2,GEK10058,1
YeJcKVfU,2015,2,GEK20002,1
YeJcKVfU,2015,2,GEK20009,1
YeJcKVfU,2015,2,GEK20059,3
YeJcKVfU,2015,4,GCS20001,1
YeJcKVfU,2016,1,BFT20002,1
YeJcKVfU,2016,1,BFT30010,2
YeJcKVfU,2016,1,BFT30020,1
YeJcKVfU,2016,1,BFT30027,1
YeJcKVfU,2016,1,GEK10007,7
YeJcKVfU,2016,1,GEK30001,1
YeJcKVfU,2016,1,GEK30008,1
YeJcKVfU,2016,1,ITP20007,1
YeJcKVfU,2016,1,MEC10001,3
Fl4JiV9V,2013,1,GEK10001,1
Fl4JiV9V,2013,1,GEK10008,1
Fl4JiV9V,2013,1,GEK10015,1
Fl4JiV9V,2013,1,GEK10045,5
Fl4JiV9V,2013,1,GEK10055,4
Fl4JiV9V,2013,1,GEK10096,1
Fl4JiV9V,2013,1,ISL10091,1
Fl4JiV9V,2013,1,PCO10012,4
Fl4JiV9V,2013,1,PCO10058,3
Fl4JiV9V,2013,2,GEK10002,1
Fl4JiV9V,2013,2,GEK10009,1
Fl4JiV9V,2013,2,GEK10016,1
Fl4JiV9V,2013,2,GEK10056,2
Fl4JiV9V,2013,2,GEK20045,11
Fl4JiV9V,2013,2,ISL10076,3
Fl4JiV9V,2013,2,LAW10004,1
Fl4JiV9V,2013,2,PCO10052,1
UkAqr2J0,2013,1,GEK10001,1
UkAqr2J0,2013,1,GEK10008,1
UkAqr2J0,2013,1,GEK10011,1
UkAqr2J0,2013,1,GEK10021,2
UkAqr2J0,2013,1,GEK10035,2
UkAqr2J0,2013,1,GEK20031,1
UkAqr2J0,2013,1,ISL10075,4
UkAqr2J0,2013,1,PCO10012,3
UkAqr2J0,2013,1,PCO10058,7
UkAqr2J0,2013,2,GEK10002,1
UkAqr2J0,2013,2,GEK10009,1
UkAqr2J0,2013,2,GEK10015,1
UkAqr2J0,2013,2,GEK10030,1
UkAqr2J0,2013,2,GEK10041,2
UkAqr2J0,2013,2,GEK10045,1
UkAqr2J0,2013,2,LAW10004,1
UkAqr2J0,2013,2,PCO10013,6
UkAqr2J0,2013,2,PCO10057,3
UkAqr2J0,2014,1,GEK10059,2
UkAqr2J0,2014,1,GEK20001,1
UkAqr2J0,2014,1,GEK20008,1
UkAqr2J0,2014,1,GEK20019,1
UkAqr2J0,2014,1,LAW20008,1
UkAqr2J0,2014,1,LAW20009,1
UkAqr2J0,2014,1,MEC10002,2
UkAqr2J0,2014,1,PCO10024,2
UkAqr2J0,2014,2,GEK10030,2
UkAqr2J0,2014,2,GEK10035,2
UkAqr2J0,2014,2,GEK20002,1
UkAqr2J0,2014,2,GEK20009,1
UkAqr2J0,2014,2,GEK20045,11
UkAqr2J0,2014,2,IID10005,2
UkAqr2J0,2014,2,MEC20054,3
UkAqr2J0,2014,2,MEC20055,1
UkAqr2J0,2014,2,PCO10052,2
UkAqr2J0,2014,3,GEK10016,1
UkAqr2J0,2014,4,GEK10007,10
UkAqr2J0,2014,4,GEK20014,1
UkAqr2J0,2015,1,ECE20010,1
UkAqr2J0,2015,1,GEK20028,1
UkAqr2J0,2015,1,GEK30001,1
UkAqr2J0,2015,1,GEK30008,1
UkAqr2J0,2015,1,ITP20003,1
UkAqr2J0,2015,1,ITP20007,1
UkAqr2J0,2015,1,MEC20005,3
UkAqr2J0,2015,1,PCO10013,16
UkAqr2J0,2015,2,ECE10002,1
UkAqr2J0,2015,2,ECE20018,1
UkAqr2J0,2015,2,ECE20021,1
UkAqr2J0,2015,2,GCS10004,4
